,Country Name,Country Code,Net-zero Target,Target Status,Detailed Plan,Reporting Mechanism,CO₂ Removal,GHG
158,Morocco,MAR,2030.0,In policy document,Yes,Less than annual reporting,,91150000.0
159,"Moldova, Republic of",MDA,2030.0,In policy document,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",13500000.0
160,Macedonia,MKD,2030.0,In policy document,Yes,Less than annual reporting,Yes (unspecified),11260000.0
161,Montenegro,MNE,2030.0,,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",3860000.0
162,Mongolia,MNG,2030.0,,Yes,Less than annual reporting,Yes (nature-based and CCS-based removals),59150000.0
163,Malaysia,MYS,2050.0,Declaration / pledge,No,Less than annual reporting,Not Specified,396110000.0
164,Nigeria,NGA,2060.0,Declaration / pledge,No,Less than annual reporting,Not Specified,354330000.0
165,Netherlands,NLD,2050.0,In law,Yes,Annual reporting,Yes (nature-based and CCS-based removals),173590000.0
166,Oman,OMN,2050.0,Declaration / pledge,No,Less than annual reporting,Not Specified,100280000.0
167,Panama,PAN,2050.0,In policy document,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",25300000.0
168,Philippines,PHL,2030.0,In policy document,Yes,Annual reporting,,236790000.0
169,Poland,POL,2030.0,In policy document,Yes,Less than annual reporting,Not Specified,320230000.0
170,North Korea,PRK,2030.0,In policy document,Yes,Less than annual reporting,Not Specified,82690000.0
171,Paraguay,PRY,2030.0,In policy document,Yes,Annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",96600000.0
172,"Palestinian Territory, Occupied",PSE,2040.0,In policy document,Yes,Annual reporting,No,
173,Qatar,QAT,2030.0,In policy document,No,Less than annual reporting,Yes (nature-based and CCS-based removals),114760000.0
174,Romania,ROU,2050.0,In policy document,Yes,Less than annual reporting,No,78360000.0
175,Russian Federation,RUS,2060.0,In law,No,Less than annual reporting,Not Specified,1924820000.0
176,Saudi Arabia,SAU,2060.0,In policy document,No,Less than annual reporting,Yes (nature-based and CCS-based removals),723150000.0
177,Sudan,SDN,2050.0,In policy document,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",127070000.0
178,El Salvador,SLV,2030.0,,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",13920000.0
179,San Marino,SMR,2030.0,In policy document,No,No reporting mechanism,,
180,Somalia,SOM,2050.0,Proposed / in discussion,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",42510000.0
181,Republic of Serbia,SRB,2030.0,In policy document,Yes,Less than annual reporting,Not Specified,63270000.0
182,Eswatini,SWZ,2030.0,In policy document,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",2690000.0
183,Syrian Arab Republic,SYR,,,,Less than annual reporting,,48480000.0
184,Thailand,THA,2065.0,In policy document,No,Less than annual reporting,"Yes (CCS-based removals e.g. BECCS, DACCS)",437180000.0
185,Tajikistan,TJK,2030.0,,Yes,Less than annual reporting,Yes (unspecified),15080000.0
186,Turkmenistan,TKM,2030.0,In policy document,Yes,Less than annual reporting,Not Specified,155080000.0
187,Tunisia,TUN,2030.0,In policy document,Yes,Less than annual reporting,Yes (nature-based and CCS-based removals),37810000.0
188,Turkey,TUR,2053.0,In policy document,No,Annual reporting,Not Specified,459860000.0
189,United Republic of Tanzania,TZA,2050.0,Proposed / in discussion,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",154890000.0
190,Ukraine,UKR,2060.0,In policy document,No,Less than annual reporting,Not Specified,221290000.0
191,Uzbekistan,UZB,2030.0,In policy document,,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",185390000.0
192,"Venezuela, Bolivarian Republic of",VEN,2030.0,In policy document,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",299600000.0
193,Vietnam,VNM,2050.0,In policy document,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",438110000.0
194,South Sudan,SSD,2030.0,In policy document,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",60330000.0
195,Singapore,SGP,2050.0,In policy document,Yes,Annual reporting,Yes (nature-based and CCS-based removals),67260000.0
196,European Union,XXX,2050.0,In law,Yes,Annual reporting,Yes (nature-based and CCS-based removals),3330000000.0
197,Niue,NIU,2050.0,Proposed / in discussion,No,Less than annual reporting,Not Specified,10000.0
