index,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,nrOfPictures,postalCode,lastSeen
65,BMW_325_i_Cabrio_wenig_Kilometer,privat,Angebot,14999,test,cabrio,2007,manuell,218,3er,50000,8,benzin,bmw,nein,07/03/2016 00:00,0,1129,15/03/2016 10:17
66,Opel_Astra_1.4_mit_vielen_Extras!!!!,privat,Angebot,10900,test,,2017,manuell,101,astra,50000,3,,opel,nein,28/03/2016 00:00,0,63607,06/04/2016 23:15
67,Volkswagen_Scirocco_1.4_TSI___Top_Zustand_!!!!,privat,Angebot,9700,test,coupe,2008,manuell,160,scirocco,150000,8,benzin,volkswagen,nein,15/03/2016 00:00,0,55218,06/04/2016 04:17
68,Honda_HRV_reserviert!!!,privat,Angebot,2100,control,suv,2000,manuell,105,andere,150000,8,benzin,honda,nein,09/02/2016 00:00,0,85244,31/03/2016 16:46
69,Mercedes_Benz_190,privat,Angebot,1280,control,limousine,1992,automatik,109,andere,150000,9,benzin,mercedes_benz,,15/03/2016 00:00,0,86163,05/04/2016 19:18
70,Opel_astra_g_coupe_1.8_liter_benziner,privat,Angebot,1200,test,coupe,2001,,0,astra,150000,0,,opel,,01/04/2016 00:00,0,47249,07/04/2016 08:46
71,Volkswagen_Polo,privat,Angebot,800,control,kleinwagen,1993,manuell,0,polo,150000,3,benzin,volkswagen,nein,08/03/2016 00:00,0,8258,05/04/2016 23:46
72,BMW_520i_E39,privat,Angebot,2300,control,,1997,manuell,150,5er,150000,3,,bmw,nein,07/03/2016 00:00,0,79341,22/03/2016 05:15
73,Ford_Fiesta,privat,Angebot,750,control,kleinwagen,2002,manuell,50,fiesta,150000,4,benzin,ford,nein,05/03/2016 00:00,0,70327,11/03/2016 06:16
74,Mercedes_Benz_C_180_T_Kompressor_Avantgarde,privat,Angebot,7999,control,kombi,2008,manuell,156,c_klasse,150000,10,benzin,mercedes_benz,nein,22/03/2016 00:00,0,83355,25/03/2016 09:47
75,VW_Golf_V_Plus_TDI_1_8,privat,Angebot,6600,control,limousine,2006,manuell,105,golf,150000,10,diesel,volkswagen,nein,31/03/2016 00:00,0,41812,31/03/2016 18:46
